Date,Beach,Attendance
2019-07-20,Midland Beach,6000
2019-07-24,Cedar Grove Beach,175
2020-07-08,Wolfe's Pond Beach,200
2020-08-04,Orchard Beach,0
2020-08-30,South Beach,2750
2023-09-02,Rockaway Beach,45000
2017-06-04,Manhattan Beach,400
2018-07-01,South Beach,13100
2018-07-12,Rockaway Beach,17500
2018-08-03,Wolfe's Pond Beach,70
2019-09-08,Coney Island Beach,46200
2023-08-27,Manhattan Beach,3000
2023-06-09,South Beach,604
2023-07-12,Wolfe's Pond Beach,117
2024-06-17,Orchard Beach,25000
2017-06-01,Midland Beach,895
2018-06-25,Cedar Grove Beach,100
2021-08-06,Wolfe's Pond Beach,360
2021-09-02,Orchard Beach,2400
2022-06-23,Coney Island Beach,5150
2023-08-24,Midland Beach,200
2017-06-13,Rockaway Beach,80800
2017-07-05,Orchard Beach,550
2018-08-10,Coney Island Beach,53000
2019-09-01,Wolfe's Pond Beach,310
2020-06-08,South Beach,3150
2024-07-07,South Beach,2500
2024-05-28,Coney Island Beach,4700
2017-05-27,Cedar Grove Beach,50
2017-08-24,South Beach,1550
2020-06-16,Rockaway Beach,5300
2020-07-15,Coney Island Beach,10700
2022-09-04,Wolfe's Pond Beach,310
2023-08-11,Orchard Beach,6600
2024-07-03,Manhattan Beach,925
2018-08-03,Orchard Beach,475
2020-08-20,Manhattan Beach,1900
2021-07-18,Rockaway Beach,43300
2024-09-09,Midland Beach,300
2017-08-17,Manhattan Beach,70
2021-09-06,Midland Beach,3860
2021-09-10,Cedar Grove Beach,0
2022-07-26,Manhattan Beach,550
2024-07-21,Rockaway Beach,53000
2024-08-19,Coney Island Beach,8500
2024-09-08,Orchard Beach,3600
2024-08-12,Wolfe's Pond Beach,250
2017-06-02,South Beach,450
2019-07-23,Manhattan Beach,250
2019-08-10,Rockaway Beach,53000
2021-08-16,Coney Island Beach,50000
2023-08-12,Midland Beach,1890
2023-08-16,Cedar Grove Beach,280
2017-09-04,Rockaway Beach,13500
2020-05-25,Orchard Beach,4156
2020-08-12,Cedar Grove Beach,100
2021-06-27,Manhattan Beach,3800
2023-07-22,Coney Island Beach,107500
2023-06-23,Rockaway Beach,2500
2017-07-14,Wolfe's Pond Beach,355
2018-06-24,Manhattan Beach,1800
2019-06-29,Coney Island Beach,75000
2019-07-21,South Beach,7300
2021-06-24,Midland Beach,1330
2022-07-18,Cedar Grove Beach,375
2023-05-29,Orchard Beach,40500
2023-06-02,Manhattan Beach,1750
2024-06-28,South Beach,1175
2017-08-15,South Beach,1900
2018-06-21,Midland Beach,1275
2019-07-15,Cedar Grove Beach,220
2019-09-04,Orchard Beach,45
2020-05-29,Manhattan Beach,250
2021-06-03,Coney Island Beach,2150
2021-06-23,Orchard Beach,850
2022-07-24,South Beach,3450
2024-06-22,Cedar Grove Beach,287
2018-05-31,Coney Island Beach,1100
2019-06-22,Wolfe's Pond Beach,1050
2020-05-26,Midland Beach,350
2020-08-18,South Beach,1275
2021-06-19,Cedar Grove Beach,150
2022-08-16,Rockaway Beach,4600
2024-05-30,Wolfe's Pond Beach,500
2017-08-06,Cedar Grove Beach,0
2022-06-25,Wolfe's Pond Beach,180
2022-07-22,Orchard Beach,6100
2017-07-12,Manhattan Beach,2000
2020-08-16,Orchard Beach,721
2021-08-15,Cedar Grove Beach,475
2021-08-25,Coney Island Beach,91000
2022-06-01,Midland Beach,455
2018-08-05,Wolfe's Pond Beach,470
2018-08-22,Coney Island Beach,17350
2019-05-29,Midland Beach,550
2023-08-20,Orchard Beach,52100
2023-07-21,Cedar Grove Beach,279
2024-06-09,Coney Island Beach,11600
2018-06-12,South Beach,820
2019-06-22,Orchard Beach,54500
2020-07-17,Cedar Grove Beach,125
2020-07-27,Coney Island Beach,152500
2022-06-18,Wolfe's Pond Beach,145
2017-06-20,Midland Beach,520
2017-07-17,Orchard Beach,4150
2017-07-24,Coney Island Beach,2200
2020-07-13,Wolfe's Pond Beach,300
2022-06-22,Cedar Grove Beach,32
2023-09-07,Rockaway Beach,67000
2024-08-10,Manhattan Beach,1500
2018-07-17,Rockaway Beach,6500
2018-08-09,Cedar Grove Beach,125
2019-08-20,Midland Beach,1350
2020-07-30,South Beach,1850
2023-06-25,Rockaway Beach,67000
2023-07-17,Wolfe's Pond Beach,160
2024-08-31,Coney Island Beach,25500
2024-05-27,Cedar Grove Beach,100
2018-08-15,Orchard Beach,25400
2018-08-25,South Beach,5100
2021-07-20,Rockaway Beach,35500
2021-07-25,Midland Beach,2485
2021-08-11,Wolfe's Pond Beach,610
2022-09-02,Manhattan Beach,950
2023-08-03,South Beach,984
2017-06-18,Rockaway Beach,43400
2017-07-11,Cedar Grove Beach,125
2018-07-22,Midland Beach,11500
2019-08-30,Manhattan Beach,1000
2019-09-06,Wolfe's Pond Beach,0
2021-08-28,South Beach,1155
2023-08-03,Coney Island Beach,28500
2023-06-30,Midland Beach,1586
2024-09-20,Orchard Beach,0
2024-08-14,Wolfe's Pond Beach,275
2020-06-21,Rockaway Beach,37000
2020-06-26,Midland Beach,1535
2021-08-04,Manhattan Beach,400
2024-08-31,South Beach,1900
2017-09-02,Midland Beach,850
2018-06-03,South Beach,575
2018-08-01,Manhattan Beach,1550
2020-06-06,Orchard Beach,5595
2021-06-15,Coney Island Beach,16550
2022-08-11,Midland Beach,250
2023-07-10,Manhattan Beach,1500
2018-05-26,Wolfe's Pond Beach,815
2018-06-12,Coney Island Beach,500
2019-08-08,Midland Beach,1525
2020-07-06,Manhattan Beach,350
2021-06-06,South Beach,9120
2023-06-10,Orchard Beach,12900
2024-07-26,Rockaway Beach,37000
2017-07-03,Manhattan Beach,25000
2019-07-02,South Beach,3200
2019-08-15,Rockaway Beach,7500
2021-05-29,Wolfe's Pond Beach,10
2021-07-05,Orchard Beach,68850
2021-07-13,Midland Beach,500
2022-06-11,Manhattan Beach,200
2024-06-09,South Beach,2190
2017-07-27,South Beach,1000
2017-09-09,Rockaway Beach,34000
2018-07-10,Midland Beach,4100
2019-06-08,Manhattan Beach,1300
2019-06-24,Wolfe's Pond Beach,410
2022-07-05,South Beach,800
2022-08-18,Rockaway Beach,8700
2022-09-01,Cedar Grove Beach,170
2024-07-08,Orchard Beach,3800
2017-06-27,Rockaway Beach,26500
2017-07-19,Wolfe's Pond Beach,245
2019-08-29,Cedar Grove Beach,175
2022-08-03,Orchard Beach,13000
2018-06-05,Orchard Beach,500
2020-07-22,Wolfe's Pond Beach,265
2020-08-08,Coney Island Beach,16950
2020-08-28,Orchard Beach,5848
2021-08-03,Cedar Grove Beach,100
2017-08-05,Coney Island Beach,185000
2018-07-31,Cedar Grove Beach,350
2018-08-17,Wolfe's Pond Beach,90
2022-07-14,Coney Island Beach,7175
2023-09-01,Orchard Beach,1850
2023-07-09,Cedar Grove Beach,176
2024-07-19,Midland Beach,1550
2024-06-04,Wolfe's Pond Beach,250
2019-07-04,Orchard Beach,100000
2019-07-11,Coney Island Beach,8200
2020-07-05,Cedar Grove Beach,600
2020-09-05,Midland Beach,3400
2022-06-30,Wolfe's Pond Beach,163
2022-08-24,Manhattan Beach,650
2017-07-29,Orchard Beach,87500
2022-06-10,Cedar Grove Beach,85
2022-07-05,Manhattan Beach,580
2022-07-28,Rockaway Beach,25600
2023-08-31,Midland Beach,760
2018-08-22,Manhattan Beach,950
2019-06-07,Cedar Grove Beach,140
2019-07-23,South Beach,350
2020-08-22,Rockaway Beach,107000
2024-06-30,South Beach,690
2024-06-09,Manhattan Beach,1200
2017-06-25,Wolfe's Pond Beach,900
2017-08-17,South Beach,370
2018-08-27,Orchard Beach,30700
2020-06-15,Orchard Beach,945
2021-06-06,Manhattan Beach,4600
2021-06-29,Rockaway Beach,48300
2022-08-02,Midland Beach,2850
2017-06-29,Cedar Grove Beach,185
2017-07-24,Manhattan Beach,450
2021-06-30,South Beach,8300
2021-09-06,Coney Island Beach,246000
2024-07-02,Rockaway Beach,22000
2024-07-07,Midland Beach,1950
2017-08-14,Coney Island Beach,1550
2019-06-03,Wolfe's Pond Beach,400
2019-06-29,Manhattan Beach,1800
2020-06-14,Midland Beach,4300
2023-06-02,Coney Island Beach,31100
2017-06-06,Rockaway Beach,700
2017-06-11,Midland Beach,8500
2020-05-29,Coney Island Beach,4000
2022-06-06,Wolfe's Pond Beach,55
2018-05-31,Manhattan Beach,125
2020-07-01,Wolfe's Pond Beach,225
2023-06-22,Orchard Beach,105
2023-08-26,Rockaway Beach,75500
2024-07-28,Cedar Grove Beach,435
2018-06-21,Coney Island Beach,26500
2018-06-24,South Beach,2450
2018-07-27,Wolfe's Pond Beach,120
2021-07-17,Orchard Beach,22900
2023-06-02,South Beach,953
2023-07-05,Wolfe's Pond Beach,173
2018-06-28,Midland Beach,500
2020-08-20,Coney Island Beach,21000
2021-07-08,Rockaway Beach,1500
2021-07-30,Wolfe's Pond Beach,210
2022-07-17,South Beach,1300
2024-07-20,Orchard Beach,32000
2019-08-03,Rockaway Beach,75000
2019-08-17,Cedar Grove Beach,380
2019-08-25,Wolfe's Pond Beach,600
2020-06-02,Midland Beach,450
2020-08-11,South Beach,2850
2022-07-26,Coney Island Beach,16750
2022-08-15,Orchard Beach,6700
2024-08-19,Manhattan Beach,105
2024-08-02,Wolfe's Pond Beach,500
2017-05-30,Midland Beach,450
2018-06-17,Orchard Beach,82500
2019-07-23,Coney Island Beach,750
2020-06-09,Rockaway Beach,7000
2021-07-22,Cedar Grove Beach,131
2021-08-16,Manhattan Beach,650
2022-08-28,Wolfe's Pond Beach,355
2024-06-30,Coney Island Beach,6000
2018-07-05,Rockaway Beach,8500
2018-07-19,Cedar Grove Beach,300
2021-06-27,Coney Island Beach,118500
2021-09-09,South Beach,978
2023-07-22,Manhattan Beach,3100
2017-06-04,Coney Island Beach,16000
2019-07-16,Orchard Beach,3000
2020-06-23,Cedar Grove Beach,300
2020-07-18,Manhattan Beach,3800
2020-08-24,Midland Beach,850
2024-07-14,Rockaway Beach,97000
2024-06-18,South Beach,1500
2017-06-20,Cedar Grove Beach,135
2017-08-05,South Beach,5400
2017-08-10,Orchard Beach,1350
2017-08-21,Midland Beach,2500
2022-05-29,Cedar Grove Beach,375
2022-06-23,Manhattan Beach,300
2022-08-09,Rockaway Beach,14500
2023-06-09,Midland Beach,478
2017-08-28,Rockaway Beach,3000
2019-05-26,Cedar Grove Beach,280
2019-06-12,Wolfe's Pond Beach,175
2019-06-20,Manhattan Beach,75
2019-07-27,Midland Beach,13500
2021-06-18,South Beach,1440
2023-06-16,Rockaway Beach,3000
2024-05-28,Manhattan Beach,570
2017-07-07,Wolfe's Pond Beach,450
2019-07-14,South Beach,27500
2020-06-27,Orchard Beach,2670
2020-08-31,Rockaway Beach,11500
2023-08-24,Coney Island Beach,3500
2023-08-12,South Beach,2160
2019-07-22,Cedar Grove Beach,80
2019-08-01,Coney Island Beach,42000
2019-08-06,Manhattan Beach,600
2019-09-08,Rockaway Beach,57500
2020-09-01,South Beach,2475
2024-06-25,Midland Beach,725
2024-09-07,Wolfe's Pond Beach,0
2024-08-16,Rockaway Beach,55000
2021-06-22,Midland Beach,500
2021-06-26,Cedar Grove Beach,75
2021-07-26,Orchard Beach,22700
2022-09-11,Rockaway Beach,4100
2023-09-05,South Beach,848
2017-05-28,Orchard Beach,1400
2017-08-09,Midland Beach,3300
2018-06-23,Cedar Grove Beach,5
2018-07-03,Coney Island Beach,29000
2018-07-08,Manhattan Beach,3700
2020-05-24,Wolfe's Pond Beach,335
2022-08-10,South Beach,725
2023-07-19,Rockaway Beach,11000
2023-05-28,Midland Beach,1006
2023-06-01,Cedar Grove Beach,165
2018-06-19,Wolfe's Pond Beach,70
2019-07-15,Midland Beach,1100
2020-05-28,Cedar Grove Beach,9
2020-06-12,Manhattan Beach,2900
2021-08-13,Rockaway Beach,79500
2023-07-04,Orchard Beach,65800
2023-05-28,Wolfe's Pond Beach,448
2017-06-09,Manhattan Beach,1150
2018-07-06,South Beach,2200
2021-05-31,Rockaway Beach,7300
2021-06-22,Wolfe's Pond Beach,450
2022-08-07,Coney Island Beach,60450
2023-06-14,South Beach,220
2019-06-26,Rockaway Beach,60900
2019-07-18,Wolfe's Pond Beach,225
2021-07-09,South Beach,930
2023-08-19,Midland Beach,3173
2024-06-25,Wolfe's Pond Beach,400
2024-07-12,Coney Island Beach,11000
2024-08-01,Orchard Beach,9600
2017-08-12,Wolfe's Pond Beach,840
2019-08-04,South Beach,10200
2020-08-15,Midland Beach,4000
2021-07-09,Coney Island Beach,30500
2022-07-21,Wolfe's Pond Beach,108
2022-08-27,Orchard Beach,41100
2024-07-12,South Beach,430
2017-08-19,Orchard Beach,100000
2017-08-26,Coney Island Beach,173500
2017-08-29,South Beach,1445
2018-05-28,Rockaway Beach,6000
2020-08-15,Wolfe's Pond Beach,1200
2022-07-21,Midland Beach,600
2023-06-14,Coney Island Beach,4500
2023-08-29,Manhattan Beach,400
2023-08-14,Cedar Grove Beach,92
2018-08-19,Rockaway Beach,200
2020-08-25,Manhattan Beach,900
2023-08-19,Wolfe's Pond Beach,330
2024-06-06,Rockaway Beach,4500
2019-07-28,Orchard Beach,75200
2021-09-01,Midland Beach,385
2021-09-05,Cedar Grove Beach,50
2022-07-31,Manhattan Beach,5300
2022-07-02,Rockaway Beach,76500
2017-06-07,South Beach,575
2017-07-21,Rockaway Beach,136000
2018-08-29,Midland Beach,4950
2019-07-28,Manhattan Beach,6500
2023-09-05,Coney Island Beach,17750
2023-08-07,Midland Beach,1061
2024-07-05,Manhattan Beach,1200
2024-06-20,Cedar Grove Beach,271
2017-05-30,Wolfe's Pond Beach,35
2020-06-10,South Beach,1200
2020-07-24,Rockaway Beach,3700
2020-08-03,Midland Beach,2250
2020-08-07,Cedar Grove Beach,130
2020-09-01,Coney Island Beach,5900
2021-07-02,Manhattan Beach,300
2022-06-14,Orchard Beach,2000
2017-08-04,Cedar Grove Beach,70
2017-08-19,Manhattan Beach,5700
2020-07-09,Orchard Beach,5995
2021-07-18,Coney Island Beach,280250
2021-08-25,Rockaway Beach,65000
2023-06-07,Manhattan Beach,225
2023-08-24,South Beach,312
2018-06-16,Midland Beach,7600
2018-06-28,Wolfe's Pond Beach,65
2018-07-15,Coney Island Beach,82550
2019-07-10,Cedar Grove Beach,180
2020-06-03,Manhattan Beach,225
2022-07-29,South Beach,640
2024-08-28,Rockaway Beach,60000
2020-06-19,Coney Island Beach,18500
2020-08-23,South Beach,3000
2021-06-14,Cedar Grove Beach,65
2021-08-07,Orchard Beach,45500
2017-06-09,Orchard Beach,1600
2017-06-16,Coney Island Beach,4000
2018-06-11,Cedar Grove Beach,29
2018-06-26,Manhattan Beach,1050
2020-06-05,Wolfe's Pond Beach,50
2023-07-31,Rockaway Beach,50000
2020-07-03,Rockaway Beach,61500
2022-09-05,Orchard Beach,13000
2024-07-29,Manhattan Beach,400
2024-07-24,Coney Island Beach,9800
2017-06-28,South Beach,850
2018-07-08,Orchard Beach,74000
2018-07-29,Rockaway Beach,65500
2023-07-07,Rockaway Beach,9500
2023-07-29,Wolfe's Pond Beach,187
2017-09-07,Coney Island Beach,3300
2018-06-04,Midland Beach,575
2019-06-05,Rockaway Beach,1900
2021-08-23,Wolfe's Pond Beach,0
2023-06-26,Coney Island Beach,7250
2023-07-01,Manhattan Beach,3600
2024-08-13,Orchard Beach,5000
2024-08-26,Midland Beach,2450
2024-08-30,Cedar Grove Beach,50
2019-06-06,South Beach,3125
2019-08-13,Coney Island Beach,2500
2019-08-18,Manhattan Beach,6000
2021-08-27,Cedar Grove Beach,150
2022-06-08,Rockaway Beach,2500
2023-07-05,South Beach,1080
2024-08-26,Wolfe's Pond Beach,175
2017-08-31,Orchard Beach,500
2021-07-23,Manhattan Beach,2050
2022-07-09,Midland Beach,6800
2022-08-30,Rockaway Beach,29800
2022-08-19,South Beach,595
2023-08-02,Cedar Grove Beach,194
2018-07-20,Manhattan Beach,1150
2019-07-06,Midland Beach,3700
2024-06-13,Midland Beach,1300
2018-06-07,Wolfe's Pond Beach,50
2020-06-24,Manhattan Beach,700
2021-06-10,Midland Beach,710
2021-08-01,Rockaway Beach,8900
2022-07-04,Cedar Grove Beach,510
2017-06-21,Manhattan Beach,1100
2017-07-28,Midland Beach,850
2018-08-21,Cedar Grove Beach,90
2019-08-27,Rockaway Beach,4200
2021-06-10,Wolfe's Pond Beach,200
2022-05-30,Manhattan Beach,14500
2022-08-19,Coney Island Beach,16050
2024-06-08,Cedar Grove Beach,400
2024-05-31,Orchard Beach,1735
2024-08-04,Rockaway Beach,5500
2018-07-27,Coney Island Beach,96000
2019-05-27,Manhattan Beach,8200
2019-06-14,Rockaway Beach,15000
2019-07-06,Wolfe's Pond Beach,625
2020-06-22,South Beach,3150
2020-07-22,Midland Beach,1175
2022-06-26,Orchard Beach,87200
2017-07-09,Rockaway Beach,18000
2017-07-19,Midland Beach,1800
2017-07-23,Cedar Grove Beach,15
2017-07-31,Wolfe's Pond Beach,120
2018-07-18,South Beach,4250
2020-07-01,Coney Island Beach,8920
2020-07-21,Orchard Beach,7857
2022-06-27,Midland Beach,125
2022-07-09,Wolfe's Pond Beach,155
2023-06-26,South Beach,235
2017-06-28,Coney Island Beach,9900
2019-06-24,Midland Beach,750
2019-06-28,Cedar Grove Beach,350
2020-08-03,Wolfe's Pond Beach,150
2021-07-21,South Beach,3266
2022-06-06,Coney Island Beach,19350
2023-07-25,Orchard Beach,3400
2023-09-10,Manhattan Beach,300
2018-08-29,Wolfe's Pond Beach,145
2019-05-27,Orchard Beach,32500
2019-06-03,Coney Island Beach,9500
2019-08-16,South Beach,1600
2021-05-29,Midland Beach,215
2021-08-19,Orchard Beach,1800
2024-06-16,Wolfe's Pond Beach,5500
2024-07-24,South Beach,600
2017-06-21,Orchard Beach,6000
2018-05-30,Cedar Grove Beach,0
2021-09-01,Wolfe's Pond Beach,260
2022-06-20,Rockaway Beach,88500
2022-08-12,Manhattan Beach,1150
2024-08-22,Orchard Beach,1750
2020-07-15,Rockaway Beach,11700
2022-08-28,Coney Island Beach,95750
2024-07-17,Manhattan Beach,390
2018-07-20,Orchard Beach,8000
2019-05-25,South Beach,5950
2019-08-25,Coney Island Beach,75000
2021-07-14,Manhattan Beach,450
2021-08-20,Midland Beach,2588
2023-08-10,Wolfe's Pond Beach,35
2017-06-19,South Beach,800
2017-08-31,Manhattan Beach,1300
2018-08-07,Rockaway Beach,178000
2018-08-17,Midland Beach,6100
2021-07-30,Coney Island Beach,90000
2022-05-28,South Beach,500
2023-06-19,Manhattan Beach,2800
2024-08-18,Cedar Grove Beach,200
2024-05-25,Rockaway Beach,48000
2017-06-27,Cedar Grove Beach,200
2017-07-07,Coney Island Beach,55000
2019-08-18,Orchard Beach,62500
2019-08-29,Rockaway Beach,45000
2021-07-02,South Beach,571
2021-08-30,Manhattan Beach,450
2023-08-26,Midland Beach,1575
2018-08-27,Manhattan Beach,1600
2019-06-02,Cedar Grove Beach,170
2019-07-28,South Beach,11500
2020-08-22,Midland Beach,5275
2023-07-12,Rockaway Beach,116000
2024-07-05,South Beach,1229
2024-06-14,Manhattan Beach,300
2017-08-22,South Beach,2700
2018-07-31,Rockaway Beach,12200
2020-08-01,Manhattan Beach,5700
2022-07-28,Midland Beach,420
2022-07-31,South Beach,3050
2017-07-29,Manhattan Beach,4000
2018-06-09,Wolfe's Pond Beach,550
2019-07-25,Midland Beach,1525
2020-08-25,South Beach,1365
2021-06-09,Orchard Beach,2500
2022-06-13,Rockaway Beach,15800
2022-07-07,Manhattan Beach,375
2024-07-02,Midland Beach,925
2024-08-05,Coney Island Beach,8800
2024-08-31,Wolfe's Pond Beach,125
2019-07-04,Manhattan Beach,26800
2020-07-13,Coney Island Beach,9010
2022-09-04,Rockaway Beach,97000
2024-06-12,Orchard Beach,2700
2017-05-31,South Beach,245
2017-06-06,Midland Beach,200
2021-06-08,Manhattan Beach,250
2022-06-18,Coney Island Beach,121500
2022-07-08,Orchard Beach,800
2022-08-18,Cedar Grove Beach,200
2017-08-02,Wolfe's Pond Beach,115
2018-06-05,Manhattan Beach,380
2019-06-15,Coney Island Beach,126500
2020-06-03,South Beach,600
2020-08-02,Orchard Beach,3252
2021-08-06,Rockaway Beach,82000
2024-07-23,Cedar Grove Beach,175
2018-06-29,South Beach,4150
2021-06-15,Wolfe's Pond Beach,1000
2021-07-20,Cedar Grove Beach,310
2023-08-06,Orchard Beach,54200
2023-06-07,South Beach,230
2024-08-09,Rockaway Beach,1150
2017-09-06,Cedar Grove Beach,0
2018-06-23,Midland Beach,1200
2019-06-08,Orchard Beach,8500
2019-06-19,Rockaway Beach,3500
2019-07-11,Wolfe's Pond Beach,150
2021-08-31,Orchard Beach,6600
2022-07-22,South Beach,950
2022-09-09,Coney Island Beach,12350
2023-06-25,Cedar Grove Beach,160
2024-06-18,Wolfe's Pond Beach,265
2017-07-03,Orchard Beach,101500
2017-07-14,Rockaway Beach,206200
2019-08-12,Cedar Grove Beach,280
2019-09-06,Coney Island Beach,600
2022-06-22,Rockaway Beach,1400
2022-07-14,Wolfe's Pond Beach,196
2024-08-24,Manhattan Beach,1800
2024-09-03,Orchard Beach,600
2020-08-08,Wolfe's Pond Beach,500
2021-08-11,Coney Island Beach,115000
2021-08-21,Manhattan Beach,900
2018-07-14,Cedar Grove Beach,350
2018-08-01,Orchard Beach,1550
2018-08-08,Coney Island Beach,20600
2023-07-17,Coney Island Beach,95000
2023-07-27,Manhattan Beach,2100
2023-08-12,Wolfe's Pond Beach,74
2019-06-24,Coney Island Beach,20800
2019-07-16,South Beach,1350
2021-06-29,Midland Beach,3700
2021-08-15,Rockaway Beach,127900
2021-09-06,Wolfe's Pond Beach,5500
2024-06-23,South Beach,2550
2017-06-15,Cedar Grove Beach,35
2017-08-10,South Beach,2950
2017-08-16,Midland Beach,1050
2019-08-30,Orchard Beach,6200
2022-06-28,Manhattan Beach,750
2023-06-04,Midland Beach,960
2018-05-26,Coney Island Beach,165000
2018-08-15,Manhattan Beach,2500
2020-05-31,Midland Beach,3325
2020-07-17,Rockaway Beach,3200
2020-08-13,South Beach,460
2024-06-02,Manhattan Beach,650
2018-08-12,Rockaway Beach,23500
2020-05-26,Wolfe's Pond Beach,60
2020-07-20,Manhattan Beach,2500
2023-05-27,Orchard Beach,22400
2023-08-17,South Beach,423
2024-05-30,Rockaway Beach,8000
2019-07-13,Midland Beach,39000
2020-07-15,Wolfe's Pond Beach,180
2020-08-11,Orchard Beach,3790
2020-09-06,South Beach,4100
2022-06-30,Coney Island Beach,24500
2023-09-04,Cedar Grove Beach,471
2017-05-28,Manhattan Beach,2200
2018-07-19,Rockaway Beach,8000
2018-08-10,Wolfe's Pond Beach,180
2018-08-17,Coney Island Beach,52000
2020-08-31,Cedar Grove Beach,50
2021-06-17,Midland Beach,830
2024-06-24,Orchard Beach,12025
2024-06-04,Coney Island Beach,7050
2024-05-28,Wolfe's Pond Beach,0
2018-06-14,Midland Beach,1400
2019-05-26,Rockaway Beach,200000
2021-06-01,Coney Island Beach,2200
2021-08-13,Wolfe's Pond Beach,1600
2022-07-20,Orchard Beach,8600
2022-08-06,Cedar Grove Beach,491
2017-06-20,Rockaway Beach,28200
2017-07-12,Orchard Beach,2400
2017-07-19,Coney Island Beach,15000
2019-05-27,South Beach,11200
2019-08-03,Cedar Grove Beach,370
2019-09-08,Wolfe's Pond Beach,0
2021-09-11,Manhattan Beach,1400
2024-07-11,Cedar Grove Beach,425
2018-07-11,South Beach,3850
2021-07-08,Cedar Grove Beach,40
2021-09-08,Midland Beach,1040
2023-08-18,Orchard Beach,1600
2023-08-17,Manhattan Beach,700
2023-06-30,Rockaway Beach,16500
2023-07-22,Wolfe's Pond Beach,400
2024-08-26,Coney Island Beach,20000
2017-08-25,Cedar Grove Beach,210
2019-06-20,Orchard Beach,105
2020-08-13,Manhattan Beach,450
2021-07-14,South Beach,1746
2021-07-25,Rockaway Beach,53200
2021-08-23,Coney Island Beach,0
2021-09-12,Orchard Beach,53500
2023-06-13,Cedar Grove Beach,87
2019-08-09,South Beach,2650
2020-06-09,Cedar Grove Beach,230
2020-08-10,Midland Beach,1950
2022-06-01,Rockaway Beach,2250
2022-07-19,Manhattan Beach,650
2023-07-29,Coney Island Beach,117000
2024-07-17,South Beach,615
2024-08-19,Wolfe's Pond Beach,250
2024-09-15,Orchard Beach,0
2017-08-07,Midland Beach,525
2017-09-03,South Beach,6400
2019-07-16,Manhattan Beach,900
